datetime_utc,dscovr_mag__source,dscovr_mag__range,dscovr_mag__scale,dscovr_mag__sensitivity,dscovr_mag__sample_size,dscovr_mag__bt,dscovr_mag__bx_gse,dscovr_mag__by_gse,dscovr_mag__bz_gse,dscovr_mag__theta_gse,dscovr_mag__phi_gse,dscovr_mag__bx_gsm,dscovr_mag__by_gsm,dscovr_mag__bz_gsm,dscovr_mag__theta_gsm,dscovr_mag__phi_gsm,dscovr_mag__max_telemetry_flag,dscovr_mag__max_data_flag,dscovr_mag__overall_quality,dscovr_plasma__source,dscovr_plasma__proton_speed,dscovr_plasma__proton_temperature,dscovr_plasma__proton_density,dscovr_plasma__proton_vx_gse,dscovr_plasma__proton_vy_gse,dscovr_plasma__proton_vz_gse,dscovr_plasma__proton_vx_gsm,dscovr_plasma__proton_vy_gsm,dscovr_plasma__proton_vz_gsm,dscovr_plasma__proton_sample_size,dscovr_plasma__alpha_speed,dscovr_plasma__alpha_temperature,dscovr_plasma__alpha_density,dscovr_plasma__alpha_vx_gse,dscovr_plasma__alpha_vy_gse,dscovr_plasma__alpha_vz_gse,dscovr_plasma__alpha_vx_gsm,dscovr_plasma__alpha_vy_gsm,dscovr_plasma__alpha_vz_gsm,dscovr_plasma__alpha_sample_size,dscovr_plasma__max_convergence_flag,dscovr_plasma__max_data_flag,dscovr_plasma__max_error_count_flag,dscovr_plasma__max_processing_flag,dscovr_plasma__max_range_flag,dscovr_plasma__max_sample_count_flag,dscovr_plasma__max_telemetry_flag,dscovr_plasma__overall_quality
2026-08-16 00:45:00+00:00,,,,,60.0,3.5866666666666664,-0.9500000000000001,2.9166666666666665,-1.6933333333333334,-28.78,107.05333333333334,-0.9433333333333334,2.5500000000000003,-2.2100000000000004,-38.870000000000005,108.8,0.0,-6666.0,0.0,,338.4266666666667,40249.0,3.53,-336.7,41.2,-13.2,-336.7,38.0,-20.8,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 00:50:00+00:00,,,,,60.0,3.6199999999999997,-0.8426666666666667,2.996,-1.6119999999999999,-26.944666666666667,104.47066666666666,-0.8353333333333334,2.6420000000000003,-2.143333333333333,-37.114000000000004,105.58133333333333,0.0,-6666.0,0.0,,343.62399999999997,47151.73333333333,3.9459999999999997,-336.76,42.68,-13.3,-336.76,39.339999999999996,-21.240000000000002,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 00:55:00+00:00,,,,,60.0,3.6471428571428572,-0.6635714285714285,3.067857142857143,-1.5657142857142856,-25.852857142857143,100.93571428571428,-0.6578571428571428,2.717142857142857,-2.117857142857143,-36.214285714285715,101.49571428571429,0.0,-6427.928571428572,0.0,,342.96500000000003,46035.92857142857,3.98,-337.12,42.559999999999995,-13.14,-337.12,39.239999999999995,-21.119999999999997,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:00:00+00:00,,,,,60.0,3.3023076923076924,-0.5923076923076922,2.7430769230769227,-1.3853846153846154,-25.23923076923077,95.95384615384616,-0.5876923076923076,2.426923076923077,-1.886153846153846,-35.31307692307692,96.10923076923078,0.0,-6153.2307692307695,0.0,,341.74733333333336,48354.46666666667,3.7766666666666664,-335.06,36.72,-17.080000000000002,-335.06,32.68,-23.919999999999998,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:05:00+00:00,,,,,60.0,2.326,-0.478,1.928,-0.5213333333333333,-13.610666666666667,92.96333333333334,-0.4713333333333333,1.7986666666666666,-0.8753333333333333,-22.931333333333335,92.104,0.0,-6666.0,0.0,,341.4353333333333,50597.86666666667,4.708666666666667,-335.02,31.24,-20.44,-335.02,26.639999999999997,-26.22,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:10:00+00:00,,,,,60.0,2.0957142857142856,-0.1992857142857143,1.6664285714285714,-0.6214285714285713,-17.86,83.2757142857143,-0.19357142857142856,1.5192857142857144,-0.9321428571428572,-26.877142857142854,82.14999999999999,0.0,-6427.928571428572,0.0,,342.65933333333334,49356.73333333333,4.8886666666666665,-335.38,33.32,-20.18,-335.38,28.619999999999997,-26.4,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:15:00+00:00,,,,,60.0,2.4527272727272726,0.46636363636363637,2.055454545454545,-0.030000000000000016,-0.15818181818181773,75.14181818181818,0.4681818181818182,2.0172727272727276,-0.4436363636363636,-10.336363636363636,74.64636363636363,0.0,-5454.0,0.0,,342.7066666666667,48212.26666666667,4.691333333333334,-335.21999999999997,35.64,-20.32,-335.21999999999997,30.82,-27.080000000000002,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:20:00+00:00,,,,,60.0,2.8506666666666667,-0.11866666666666666,2.25,-0.6446666666666666,-12.724666666666668,88.07,-0.11199999999999997,2.0846666666666667,-1.0733333333333335,-22.459999999999997,88.59133333333332,0.0,-6666.0,0.0,,341.76866666666666,45213.26666666667,4.724,-335.8,34.72,-19.78,-335.8,29.98,-26.419999999999998,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:25:00+00:00,,,,,60.0,2.6357142857142857,-0.03142857142857142,1.1028571428571428,-1.2957142857142858,-36.19642857142857,140.5092857142857,-0.02642857142857143,0.8157142857142857,-1.4914285714285713,-40.417857142857144,200.40642857142856,0.0,-6427.928571428572,0.0,,342.42857142857144,48067.5,5.159999999999999,-336.7,36.94,-21.84,-336.7,31.639999999999997,-28.96,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:30:00+00:00,,,,,60.0,2.7114285714285713,0.12142857142857137,1.3042857142857145,-1.2614285714285713,-32.525,71.74642857142858,0.12499999999999997,1.0192857142857144,-1.4957142857142858,-39.207142857142856,142.18714285714285,0.0,-6427.928571428572,0.0,,341.866,43998.933333333334,4.796,-337.04,37.54,-24.240000000000002,-337.04,31.639999999999997,-31.5,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:35:00+00:00,,,,,60.0,2.747333333333333,0.14066666666666666,1.024,-1.2406666666666666,-34.02066666666666,61.81333333333334,0.1453333333333333,0.7453333333333333,-1.418,-38.00333333333333,184.466,0.0,-6666.0,0.0,,341.3706666666667,44605.13333333333,4.691333333333334,-335.3,35.8,-22.619999999999997,-335.3,30.24,-29.619999999999997,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:40:00+00:00,,,,,60.0,2.4914285714285715,0.6699999999999999,0.6114285714285714,-1.6664285714285714,-43.73428571428571,53.419285714285714,0.6728571428571428,0.24499999999999997,-1.7514285714285713,-46.22714285714285,248.66785714285714,0.0,-6427.928571428572,0.0,,344.01933333333335,45301.0,4.724,-335.38,35.2,-22.02,-335.38,29.76,-29.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:45:00+00:00,,,,,60.0,2.5708333333333333,0.595,0.5041666666666667,-2.0216666666666665,-55.80666666666667,190.835,0.5975,0.0591666666666667,-2.0766666666666667,-56.818333333333335,244.5325,0.0,-5832.75,0.0,,343.3186666666667,44277.46666666667,4.462666666666666,-335.08000000000004,31.8,-20.619999999999997,-335.08000000000004,26.639999999999997,-26.98,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:50:00+00:00,,,,,60.0,2.6893333333333334,0.10799999999999997,0.8246666666666668,-1.6833333333333333,-45.95666666666667,131.848,0.11333333333333331,0.444,-1.814,-49.068666666666665,252.4006666666667,0.0,-6666.0,0.0,,340.9886666666667,45692.933333333334,4.596,-333.12,34.660000000000004,-19.32,-333.12,29.660000000000004,-26.4,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 01:55:00+00:00,,,,,60.0,2.5107142857142857,0.13357142857142856,0.6135714285714285,-2.060714285714286,-63.76642857142857,67.31142857142858,0.13714285714285715,0.15071428571428572,-2.137857142857143,-64.53214285714286,244.15,0.0,-6427.928571428572,0.0,,341.57800000000003,42496.666666666664,4.908,-331.71999999999997,34.239999999999995,-19.919999999999998,-331.71999999999997,29.04,-26.939999999999998,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:00:00+00:00,,,,,60.0,2.666,1.006,0.18333333333333332,-2.1593333333333335,-59.047333333333334,93.92800000000001,1.0073333333333332,-0.3,-2.1453333333333333,-56.221333333333334,204.26133333333334,0.0,-6666.0,0.0,,338.794,42388.86666666667,4.641333333333334,-331.54,33.86,-20.54,-331.54,28.439999999999998,-27.560000000000002,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:05:00+00:00,,,,,60.0,2.7640000000000002,1.5266666666666666,0.4033333333333333,-1.9286666666666668,-47.098,128.446,1.5293333333333332,-0.040000000000000015,-1.964,-46.720666666666666,227.858,0.0,-6666.0,0.0,,340.29266666666666,46734.6,4.271333333333334,-332.78000000000003,32.96,-22.759999999999998,-332.78000000000003,27.02,-29.6,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:10:00+00:00,,,,,60.0,3.143333333333333,1.7544444444444443,0.6988888888888889,-2.216666666666667,-47.69555555555556,78.27555555555556,1.758888888888889,0.17777777777777776,-2.3144444444444447,-48.98111111111111,198.39777777777778,0.0,-9999.0,0.0,,342.956,48064.5,2.3449999999999998,-333.1,32.1,-24.48,-333.1,25.68,-31.139999999999997,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:15:00+00:00,,,,,60.0,2.9387499999999998,1.48625,0.535,-2.2925,-55.035000000000004,48.95,1.48875,-0.0037500000000000033,-2.35,-58.06875,163.80625,0.0,-9999.0,0.0,,339.562,44904.0,2.193,-330.94,30.3,-19.8,-330.94,24.96,-26.22,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:20:00+00:00,,,,,60.0,3.0620000000000003,2.109,0.376,-2.085,-44.653,31.534000000000002,2.1100000000000003,-0.11699999999999999,-2.112,-45.016,174.509,0.0,-9999.0,0.0,,338.329,44985.6,2.336,-331.08000000000004,32.739999999999995,-18.759999999999998,-331.08000000000004,27.46,-25.880000000000003,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:25:00+00:00,,,,,60.0,3.152,2.049,0.454,-2.1870000000000003,-46.621,11.818999999999999,2.0509999999999997,-0.074,-2.227,-47.192,174.074,0.0,-9999.0,0.0,,339.918,45712.4,2.287,-330.96,32.9,-20.54,-330.96,27.160000000000004,-27.72,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:30:00+00:00,,,,,60.0,3.069,2.2199999999999998,0.45899999999999996,-1.948,-40.664,12.174,2.222,-0.022,-1.998,-41.931,213.44099999999997,0.0,-9999.0,0.0,,339.70799999999997,45286.8,2.1550000000000002,-332.32,31.839999999999996,-19.36,-332.32,26.32,-26.4,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:35:00+00:00,,,,,60.0,3.2939999999999996,2.73,0.316,-1.6920000000000002,-31.349,69.221,2.73,-0.10700000000000001,-1.718,-31.981,125.825,0.0,-9999.0,0.0,,341.887,48118.1,2.182,-333.48,33.18,-18.6,-333.48,27.74,-26.060000000000002,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:40:00+00:00,,,,,60.0,3.6488888888888886,2.9333333333333336,-0.025555555555555554,-1.9655555555555557,-32.986666666666665,123.29555555555557,2.9333333333333336,-0.51,-1.8977777777777776,-32.11222222222222,258.68111111111114,0.0,-9999.0,0.0,,342.754,46221.7,2.138,-336.78000000000003,36.44,-18.72,-336.78000000000003,30.76,-27.02,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:45:00+00:00,,,,,60.0,3.283,1.83,1.134,-1.284,-24.0,143.858,1.8310000000000002,0.779,-1.528,-29.21,180.249,0.0,-9999.0,0.0,,346.223,46932.3,2.245,-341.46,37.18,-22.48,-341.46,30.5,-30.96,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:50:00+00:00,,,,,60.0,3.2,0.74,0.9789999999999999,-0.655,-11.926,219.794,0.736,0.778,-0.884,-15.401,219.333,0.0,-9999.0,0.0,,342.37199999999996,48096.0,2.007,-333.91999999999996,29.1,-21.02,-333.91999999999996,22.919999999999998,-27.639999999999997,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 02:55:00+00:00,,,,,60.0,3.073,1.377,0.75,-1.416,-28.238999999999997,206.359,1.375,0.36700000000000005,-1.573,-31.055,216.916,0.0,-9999.0,0.0,,345.29699999999997,54217.8,2.3630000000000004,-342.6,39.86,-22.86,-342.6,32.82,-32.160000000000004,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:00:00+00:00,,,,,60.0,3.1239999999999997,2.247,0.11500000000000002,-1.858,-36.543,184.068,2.243,-0.368,-1.83,-36.291000000000004,173.279,0.0,-9999.0,0.0,,343.759,49217.4,2.424,-342.4,32.739999999999995,-26.5,-342.4,24.880000000000003,-34.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:05:00+00:00,,,,,60.0,3.275,1.815,0.44399999999999995,-1.517,-27.326,196.893,1.81,0.031000000000000007,-1.582,-29.592000000000002,191.52,0.0,-9999.0,0.0,,344.13666666666666,50470.22222222222,2.4177777777777774,-336.95,31.075,-23.1,-336.95,24.05,-30.375,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:10:00+00:00,,,,,60.0,3.2788888888888885,1.2666666666666666,1.2066666666666666,-2.143333333333333,-40.06444444444445,191.21444444444444,1.2633333333333332,0.6011111111111112,-2.3866666666666667,-45.095555555555556,183.51444444444442,0.0,-9999.0,0.0,,344.435,51667.1,2.158,-333.38,33.980000000000004,-17.68,-333.38,28.160000000000004,-25.939999999999998,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:15:00+00:00,,,,,60.0,3.8533333333333335,-0.7922222222222222,2.538888888888889,-1.7011111111111112,-27.26888888888889,102.80111111111111,-0.7855555555555555,2.0077777777777777,-2.31,-39.73555555555556,99.5611111111111,0.0,-9999.0,0.0,,343.729,48629.6,2.343,-334.14,33.760000000000005,-18.68,-334.14,27.639999999999997,-26.919999999999998,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:20:00+00:00,,,,,60.0,4.046,-1.242,2.785,-1.5470000000000002,-24.494,107.64000000000001,-1.232,2.279,-2.2350000000000003,-36.985,105.667,0.0,-9999.0,0.0,,336.683,54710.8,2.2600000000000002,-332.28,31.2,-15.280000000000001,-332.28,25.96,-23.06,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16 03:25:00+00:00,,,,,60.0,3.5533333333333332,-0.10888888888888894,2.2066666666666666,-2.1822222222222223,-39.45666666666667,81.20666666666666,-0.10333333333333337,1.5377777777777777,-2.6955555555555555,-50.93888888888889,157.5677777777778,0.0,-9999.0,0.0,,341.71999999999997,54749.4,2.244,-332.14,34.839999999999996,-16.94,-332.14,28.96,-25.74,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
